market,interval,snapshot0,snapshot1,listing_id,init_u,reopened
belize,4,2026-06-29,2026-08-31,12823760,4,0
belize,4,2026-06-29,2026-08-31,12984190,43,9
belize,4,2026-06-29,2026-08-31,13005742,34,0
belize,4,2026-06-29,2026-08-31,13314067,25,8
belize,4,2026-06-29,2026-08-31,14484119,24,0
belize,4,2026-06-29,2026-08-31,14732433,61,6
belize,4,2026-06-29,2026-08-31,14930054,19,0
belize,4,2026-06-29,2026-08-31,17419329,3,0
belize,4,2026-06-29,2026-08-31,17460556,15,0
belize,4,2026-06-29,2026-08-31,17613593,16,0
belize,4,2026-06-29,2026-08-31,17613819,14,0
belize,4,2026-06-29,2026-08-31,17750669,71,33
belize,4,2026-06-29,2026-08-31,18974444,8,0
belize,4,2026-06-29,2026-08-31,19930308,1,0
belize,4,2026-06-29,2026-08-31,20392274,7,0
belize,4,2026-06-29,2026-08-31,20471865,23,2
belize,4,2026-06-29,2026-08-31,20471866,9,0
belize,4,2026-06-29,2026-08-31,20599884,43,0
belize,4,2026-06-29,2026-08-31,21326369,63,0
belize,4,2026-06-29,2026-08-31,21754451,34,0
belize,4,2026-06-29,2026-08-31,21798169,9,1
belize,4,2026-06-29,2026-08-31,21798234,18,0
belize,4,2026-06-29,2026-08-31,22585239,64,0
belize,4,2026-06-29,2026-08-31,23321288,40,0
belize,4,2026-06-29,2026-08-31,24077366,62,6
belize,4,2026-06-29,2026-08-31,24678132,34,6
belize,4,2026-06-29,2026-08-31,25840079,84,4
belize,4,2026-06-29,2026-08-31,28202852,44,0
belize,4,2026-06-29,2026-08-31,28363146,1,0
belize,4,2026-06-29,2026-08-31,31053120,17,5
belize,4,2026-06-29,2026-08-31,31516424,17,0
belize,4,2026-06-29,2026-08-31,33588492,30,4
belize,4,2026-06-29,2026-08-31,33828465,2,1
belize,4,2026-06-29,2026-08-31,34617739,101,8
belize,4,2026-06-29,2026-08-31,34618613,111,4
belize,4,2026-06-29,2026-08-31,36065414,23,0
belize,4,2026-06-29,2026-08-31,36559602,54,0
belize,4,2026-06-29,2026-08-31,37771130,11,0
