gap_days,months_before_early_dump,n_pairs,median_ratio,mean_ratio,pooled_ratio,den
305,1,14,0.8559810285004057,0.8545999448489606,0.8496947793955821,86331
305,2,14,0.8625065733867651,0.8627037008861945,0.8535723583888124,80661
305,3,14,0.8661107294196273,0.8632850985470438,0.8548060163966174,77455
305,4,14,0.8668758012504766,0.8653727108074115,0.8564039671536738,75016
305,5,14,0.8654935246515175,0.8597538906114407,0.8514880422903907,78694
305,6,14,0.8599808904038839,0.8606922185802047,0.8575915112893144,65593
305,7,14,0.8586819226929604,0.861898484409058,0.8634471516315897,68706
305,8,14,0.8632944570444571,0.8627167662633521,0.8637677721605314,67451
307,0,7,1.5903203817314246,1.547189402697516,1.5574150307192651,48341
307,1,7,0.8173771777491458,0.8202219452910712,0.8329632033892514,87807
307,2,7,0.8244765162259114,0.8262008681843108,0.836898631101721,90876
307,3,7,0.8326555204097003,0.826197639267769,0.836527194176481,84485
307,4,7,0.8335212326193161,0.8292398979826479,0.841426768826506,76873
307,5,7,0.8394851611530688,0.8339209053215825,0.8443055595835388,68962
307,6,7,0.8560090702947846,0.841952483742841,0.8504663623734868,50390
307,7,7,0.8565084651679157,0.8366182682258562,0.8473340925561652,48295
307,8,7,0.8463265306122449,0.8379462304074962,0.8479521565784705,60698
308,0,6,1.7740640817903803,1.7182597492913245,1.6150697886772762,61328
308,1,6,0.9041331371633827,0.8955983797716353,0.8953124424641897,108628
308,2,6,0.8998799820961665,0.8968209416729663,0.896256560218448,103274
308,3,6,0.9004157441475062,0.8987162963263334,0.894327140415679,90695
308,4,6,0.8957248456161755,0.8978202690532262,0.8862068514130876,76393
308,5,6,0.9056725447850532,0.8956192126553942,0.882005382005382,51282
308,6,6,0.9027652370203161,0.8963927756298489,0.8826263946125239,39796
308,7,6,0.8922881856624114,0.8908567230622157,0.8770076183339578,40035
308,8,6,0.9030217585503897,0.8978649340325849,0.8811981894929564,39326
309,0,14,2.5993928941221798,2.535211055101244,2.642666500179494,64069
309,1,14,0.8784679671145867,0.8615364778994593,0.8698717948717949,207480
309,2,14,0.8786737025769862,0.8610352166843042,0.868096174694794,233367
309,3,14,0.8775276912225185,0.8621461857657141,0.8704566676076524,230255
309,4,14,0.8708335744710758,0.8579120576485082,0.8714941931435463,203983
309,5,14,0.8769003437106513,0.860953714328474,0.8758286856782069,171054
309,6,14,0.8836451385401389,0.8611907610609286,0.8749544063307801,126114
